item,domain,subgroup,target,n,n_eff,truth_pct,truth_se_pct
happy,wellbeing,total,very happy,3183,1618.9,23.45,1.05
health,wellbeing,total,excellent or good,3198,1627.2,72.18,1.11
satfin,wellbeing,total,pretty well satisfied,3192,1630.0,22.93,1.04
satjob,wellbeing,total,very satisfied,2185,1125.7,45.34,1.48
fear,wellbeing,total,yes,2157,1075.8,32.91,1.43
trust,social_trust,total,most people can be trusted,923,472.0,24.95,1.99
helpful,social_trust,total,try to be helpful,916,470.2,38.03,2.24
fair,social_trust,total,would try to be fair,917,467.1,41.75,2.28
getahead,social_trust,total,hard work most important,961,474.6,65.4,2.18
conbus,institutions,total,a great deal of confidence,2084,1055.3,15.11,1.1
conmedic,institutions,total,a great deal of confidence,2100,1066.2,26.4,1.35
consci,institutions,total,a great deal of confidence,2065,1049.4,36.74,1.49
conpress,institutions,total,a great deal of confidence,2086,1070.6,7.52,0.81
contv,institutions,total,a great deal of confidence,2096,1064.2,8.26,0.84
confinan,institutions,total,a great deal of confidence,2103,1067.0,17.13,1.15
coneduc,institutions,total,a great deal of confidence,2106,1066.6,20.02,1.23
conarmy,institutions,total,a great deal of confidence,2096,1063.3,43.22,1.52
natsci,spending,total,too little,3046,1560.5,40.2,1.24
natenvir,spending,total,too little,1604,821.3,66.35,1.65
natroad,spending,total,too little,3146,1597.7,52.25,1.25
happy,wellbeing,women,very happy,1810,914.8,23.38,1.4
health,wellbeing,women,excellent or good,1818,917.5,72.31,1.48
satfin,wellbeing,women,pretty well satisfied,1815,916.9,21.9,1.37
satjob,wellbeing,women,very satisfied,1225,643.1,45.51,1.96
fear,wellbeing,women,yes,1232,600.7,41.88,2.01
trust,social_trust,women,most people can be trusted,514,249.0,17.74,2.42
helpful,social_trust,women,try to be helpful,513,247.4,37.62,3.08
fair,social_trust,women,would try to be fair,510,245.0,34.91,3.05
getahead,social_trust,women,hard work most important,552,252.9,69.03,2.91
conbus,institutions,women,a great deal of confidence,1159,597.3,13.46,1.4
conmedic,institutions,women,a great deal of confidence,1171,605.7,24.43,1.75
consci,institutions,women,a great deal of confidence,1141,589.6,32.7,1.93
conpress,institutions,women,a great deal of confidence,1160,599.2,7.44,1.07
contv,institutions,women,a great deal of confidence,1163,602.9,8.79,1.15
confinan,institutions,women,a great deal of confidence,1171,605.9,19.02,1.59
coneduc,institutions,women,a great deal of confidence,1176,608.0,20.0,1.62
conarmy,institutions,women,a great deal of confidence,1163,601.0,39.75,2.0
natsci,spending,women,too little,1697,865.0,37.13,1.64
natenvir,spending,women,too little,909,476.7,68.09,2.13
natroad,spending,women,too little,1781,895.1,46.67,1.67
happy,wellbeing,men,very happy,1453,757.9,23.28,1.54
health,wellbeing,men,excellent or good,1460,765.0,71.92,1.62
satfin,wellbeing,men,pretty well satisfied,1458,765.9,23.53,1.53
satjob,wellbeing,men,very satisfied,1006,522.5,44.21,2.17
fear,wellbeing,men,yes,979,507.4,23.26,1.88
trust,social_trust,men,most people can be trusted,431,234.8,32.39,3.05
helpful,social_trust,men,try to be helpful,425,234.7,38.19,3.17
fair,social_trust,men,would try to be fair,429,233.8,48.71,3.27
getahead,social_trust,men,hard work most important,436,237.3,61.01,3.17
conbus,institutions,men,a great deal of confidence,964,492.9,16.55,1.67
conmedic,institutions,men,a great deal of confidence,972,497.7,28.09,2.01
consci,institutions,men,a great deal of confidence,964,494.3,39.77,2.2
