item,subgroup,domain,n_eff,truth_pct,est_mean,est_sd,width_mean,covered_run1,abs_err,extremity,log_n_eff
conarmy,age18_34,institutions,239.9,42.04,42.0,0.0,14.0,True,0.03999999999999915,7.960000000000001,5.480222169845649
conarmy,age55plus,institutions,472.8,46.45,68.0,4.0,10.666666666666666,False,21.549999999999997,3.549999999999997,6.158672466091889
conarmy,ba_plus,institutions,405.5,42.78,62.666666666666664,5.033222956847167,11.333333333333334,False,19.886666666666663,7.219999999999999,6.005120873555468
conarmy,men,institutions,499.3,46.82,64.66666666666667,5.77350269189626,12.0,False,17.84666666666667,3.1799999999999997,6.213207117506563
conarmy,total,institutions,1063.3,43.22,68.0,0.0,9.333333333333334,False,24.78,6.780000000000001,6.969132558657041
conarmy,women,institutions,601.0,39.75,40.666666666666664,2.3094010767585034,11.333333333333334,True,0.9166666666666643,10.25,6.398594934535208
conbus,age18_34,institutions,241.9,14.69,18.0,0.0,12.333333333333334,True,3.3100000000000005,35.31,5.488524417615982
conbus,age55plus,institutions,465.7,15.69,18.0,0.0,12.333333333333334,True,2.3100000000000005,34.31,6.1435416499883315
conbus,ba_plus,institutions,407.6,16.53,19.666666666666668,2.886751345948128,9.333333333333334,True,3.1366666666666667,33.47,6.01028630134857
conbus,men,institutions,492.9,16.55,18.0,0.0,9.0,True,1.4499999999999993,33.45,6.200306313711332
conbus,total,institutions,1055.3,15.11,18.0,0.0,9.0,True,2.8900000000000006,34.89,6.961580365677045
conbus,women,institutions,597.3,13.46,18.0,0.0,9.0,False,4.539999999999999,36.54,6.39241949973826
coneduc,age18_34,institutions,244.2,27.01,28.0,0.0,12.666666666666666,True,0.9899999999999984,22.99,5.497987561676604
coneduc,age55plus,institutions,471.7,16.14,28.0,0.0,13.0,False,11.86,33.86,6.156343190290216
coneduc,ba_plus,institutions,406.4,18.42,31.666666666666668,3.511884584284246,11.666666666666666,False,13.246666666666666,31.58,6.007337896264272
coneduc,men,institutions,495.3,19.62,27.333333333333332,0.5773502691896263,10.333333333333334,False,7.713333333333331,30.38,6.2051636395941925
coneduc,total,institutions,1066.6,20.02,27.0,0.0,8.0,False,6.98,29.98,6.972231298166502
coneduc,women,institutions,608.0,20.0,36.0,3.4641016151377544,10.0,False,16.0,30.0,6.410174881966167
confinan,age18_34,institutions,242.1,16.33,22.0,0.0,13.666666666666666,True,5.670000000000002,33.67,5.489350863944013
confinan,age55plus,institutions,473.6,19.18,24.0,5.196152422706632,10.0,False,4.82,30.82,6.160363083569796
confinan,ba_plus,institutions,407.6,20.23,26.0,1.7320508075688772,9.666666666666666,True,5.77,29.77,6.01028630134857
confinan,men,institutions,499.5,15.11,19.333333333333332,2.3094010767585034,10.333333333333334,True,4.223333333333333,34.89,6.2136075980886085
